brand_names,smartphone_name,colour,ram,storage,primary,secondary,display,battery,price,product url
"realme 11x 5G (Midnight Black, 128 GB)  (8 GB RAM)",11x 5G,Midnight Black,8 GB,128 GB,64MP + 2MP,8MP Front Camera,17.07 cm (6.72 inch),5000 mAh Battery,"₹15,999",-
"realme 11 5G (Glory Black, 128 GB)  (8 GB RAM)",11 5G,Glory Black,8 GB,128 GB,108MP + 2MP,16MP Front Camera,17.07 cm (6.72 inch),5000 mAh Battery,"₹18,999",-
"POCO M6 Pro 5G (Power Black, 128 GB)  (6 GB RAM)",M6 Pro 5G,Power Black,6 GB,128 GB,50MP + 2MP,"8MP Front Camera: Features: Portrait Mode, Front Video Recording, Palm Shutter, Movie Filters, Beautify, Timed Burst, Voice Shutter, Beautify, Filters, Timelapse",17.25 cm (6.79 inch),5000 mAh Battery,"₹12,999",-
"REDMI 12 (Moonstone Silver, 128 GB)  (4 GB RAM)",12,Moonstone Silver,4 GB,128 GB,50MP + 8MP + 2MP,"8MP Front Camera Setup: Features: Camera, Features: Portrait Mode, Front Video Recording, Palm Shutter, Movie Filters, Beautify, Timed Burst, Voice Shutter, Filters, Timelapse",17.25 cm (6.79 inch),5000 mAh Battery,"₹9,999",-
"POCO C51 (Royal Blue, 64 GB)  (4 GB RAM)",C51,Royal Blue,4 GB,64 GB,8MP Dual Rear Camera,5MP Front Camera,16.56 cm (6.52 inch),5000 mAh Battery,"₹6,499",-
"POCO C50 (Royal Blue, 32 GB)  (2 GB RAM)",C50,Royal Blue,2 GB,32 GB,8MP Dual Camera,5 MP Camera Setup,16.56 cm (6.52 inch),5000 mAh Lithium Polymer Battery,"₹5,499",-
"POCO C55 (Cool Blue, 128 GB)  (6 GB RAM)",C55,Cool Blue,6 GB,128 GB,50MP Dual Rear Camera,"5MP Front Camera: Camera Features: Portrait Mode, HDR, Front Video Recording, Palm Shutter, Voice Shutter, Movie Frame, Timelapse",17.04 cm (6.71 inch),5000 mAh Battery,"₹8,499",-
"POCO C55 (Power Black, 128 GB)  (6 GB RAM)",C55,Power Black,6 GB,128 GB,50MP Dual Rear Camera,"5MP Front Camera: Camera Features: Portrait Mode, HDR, Front Video Recording, Palm Shutter, Voice Shutter, Movie Frame, Timelapse",17.04 cm (6.71 inch),5000 mAh Battery,"₹8,499",-
"realme 11x 5G (Purple Dawn, 128 GB)  (8 GB RAM)",11x 5G,Purple Dawn,8 GB,128 GB,64MP + 2MP,8MP Front Camera,17.07 cm (6.72 inch),5000 mAh Battery,"₹15,999",-
"realme 11x 5G (Purple Dawn, 128 GB)  (6 GB RAM)",11x 5G,Purple Dawn,6 GB,128 GB,64MP + 2MP,8MP Front Camera,17.07 cm (6.72 inch),5000 mAh Battery,"₹14,999",-
"realme 11x 5G (Midnight Black, 128 GB)  (6 GB RAM)",11x 5G,Midnight Black,6 GB,128 GB,64MP + 2MP,8MP Front Camera,17.07 cm (6.72 inch),5000 mAh Battery,"₹14,999",-
"POCO C50 (Country Green, 32 GB)  (2 GB RAM)",C50,Country Green,2 GB,32 GB,8MP Dual Camera,5 MP Camera Setup,16.56 cm (6.52 inch),5000 mAh Lithium Polymer Battery,"₹5,499",-
"POCO M6 Pro 5G (Power Black, 64 GB)  (4 GB RAM)",M6 Pro 5G,Power Black,4 GB,64 GB,50MP + 2MP,"8MP Front Camera: Features: Portrait Mode, Front Video Recording, Palm Shutter, Movie Filters, Beautify, Timed Burst, Voice Shutter, Beautify, Filters, Timelapse",17.25 cm (6.79 inch),5000 mAh Battery,"₹10,999",-
"POCO C55 (Forest Green, 128 GB)  (6 GB RAM)",C55,Forest Green,6 GB,128 GB,50MP Dual Rear Camera,"5MP Front Camera: Camera Features: Portrait Mode, HDR, Front Video Recording, Palm Shutter, Voice Shutter, Movie Frame, Timelapse",17.04 cm (6.71 inch),5000 mAh Battery,"₹8,499",-
"POCO M6 Pro 5G (Forest Green, 64 GB)  (4 GB RAM)",M6 Pro 5G,Forest Green,4 GB,64 GB,50MP + 2MP,"8MP Front Camera: Features: Portrait Mode, Front Video Recording, Palm Shutter, Movie Filters, Beautify, Timed Burst, Voice Shutter, Beautify, Filters, Timelapse",17.25 cm (6.79 inch),5000 mAh Battery,"₹10,999",-
"MOTOROLA e13 (Aurora Green, 64 GB)  (4 GB RAM)",e13,Aurora Green,4 GB,64 GB,13MP Rear Camera,"5MP Front Camera Setup: (f/2.2 Aperture, 1.12um Pixel Size), Camera Feature: Portrait, Photo, Face Beauty, Auto Smile Capture, HDR, Leveler, Mirror, Assistive Grid, Watermark, Timer, Video Feature: Video, Timelapse, Snap in Video Recording",16.51 cm (6.5 inch),5000 mAh Battery,"₹7,299",-
"Infinix SMART 7 (Azure Blue, 64 GB)  (4 GB RAM)",SMART 7,Azure Blue,4 GB,64 GB,13MP + AI Lens,"5MP Front Camera: Camera Features: AI Portrait, Face Beauty, Wideselfie, Video Features: HD Video Recording",16.76 cm (6.6 inch),6000 mAh Battery,"₹6,999",-
"Infinix SMART 7 (Emerald Green, 64 GB)  (4 GB RAM)",SMART 7,Emerald Green,4 GB,64 GB,13MP + AI Lens,"5MP Front Camera: Camera Features: AI Portrait, Face Beauty, Wideselfie, Video Features: HD Video Recording",16.76 cm (6.6 inch),6000 mAh Battery,"₹6,999",-
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)  (6 GB RAM)",Nord CE 2 Lite 5G,Blue Tide,6 GB,128 GB,16MP Front Camera,-,16.74 cm (6.59 inch),5000 mAh Battery,"₹17,641",-
"vivo T2x 5G (Marine Blue, 128 GB)  (8 GB RAM)",T2x 5G,Marine Blue,8 GB,128 GB,50MP + 2MP,8MP Front Camera Setup: (f/2.0 Aperture),16.71 cm (6.58 inch),5000 mAh Battery,"₹15,999",-
"vivo T2x 5G (Glimmer Black, 128 GB)  (8 GB RAM)",T2x 5G,Glimmer Black,8 GB,128 GB,50MP + 2MP,8MP Front Camera Setup: (f/2.0 Aperture),16.71 cm (6.58 inch),5000 mAh Battery,"₹15,999",-
"vivo T2x 5G (Aurora Gold, 128 GB)  (8 GB RAM)",T2x 5G,Aurora Gold,8 GB,128 GB,50MP + 2MP,8MP Front Camera Setup: (f/2.0 Aperture),16.71 cm (6.58 inch),5000 mAh Battery,"₹15,999",-
"vivo T2x 5G (Glimmer Black, 128 GB)  (6 GB RAM)",T2x 5G,Glimmer Black,6 GB,128 GB,50MP + 2MP,8MP Front Camera Setup: (f/2.0 Aperture),16.71 cm (6.58 inch),5000 mAh Battery,"₹13,999",-
"vivo T2x 5G (Aurora Gold, 128 GB)  (6 GB RAM)",T2x 5G,Aurora Gold,6 GB,128 GB,50MP + 2MP,8MP Front Camera Setup: (f/2.0 Aperture),16.71 cm (6.58 inch),5000 mAh Battery,"₹13,999",-
